Unique ID,TalkID,Name,personQID,countryOfCitizenship,countryOfCitizenshipQID,educatedAt,educatedAtQID,personFieldOfWork,personFieldOfWorkQID,Company,companyQID,member of,memberOfQID,instance of,instanceOfQID,industry,industryQID,companyFieldOfWork,companyFieldOfWorkQID,HQ,HQQID1,HQ2,HQQID2,HQ3,HQQID3,HQ4,HQQID4,HQ5,HQQID5,Title,LinkedIn,Final Bios
26,26,Paul Groth,Q21678689,,,,,Semantic Web,Q54837,University of Amsterdam,Q214341,Association of Universities in the Netherlands,Q2574590,university,Q3918,,,,,Amsterdam,Q727,Amsterdam,Q9899,North Holland,Q701,Netherlands,Q55,Kingdom of the Netherlands,Q29999,Professor of Algorithmic Data Science,https://www.linkedin.com/in/pgroth/,Paul Groth is Professor of Algorithmic Data Science at the University of Amsterdam where he leads the Intelligent Data Engineering Lab (INDElab.org). Paul led the design of a number of large scale data integration and knowledge graph construction efforts in the biomedical domain. Paul was co-chair of the W3C Provenance Working Group and continues to research data provenance and data integration.
,,,,,,,,Web science,Q579439,,,Stichting Academisch Erfgoed,Q3212092,research institute,Q31855,,,,,,,,,,,,,,,,,
,,,,,,,,altmetrics,Q14565201,,,European University Association,Q868940,,,,,,,,,,,,,,,,,,,
,,,,,,,,data lineage,Q1172162,,,Coalition for Networked Information,Q5137944,,,,,,,,,,,,,,,,,,,
,,,,,,,,data integration,Q386824,,,,,,,,,,,,,,,,,,,,,,,
27,27,Radu Marian,,,,,,,,Bank of America,Q487907,World Wide Web Consortium,Q37033,credit institution,Q730038,financial services,Q837171,,,Charlotte,Q16565,Mecklenburg County,Q507770,North Carolina,Q1454,United States of America,Q30,,,Solution Architect,https://www.linkedin.com/in/radu-marian-6a9a943/,"Radu Marian is a Solution Architect at Bank of America, Research and Innovation Team of Global Information Security.  Radu has specialized in building semantic knowledge graph solutions for cyber security domain - specifically W3C Cyber Control Ontology and Knowledge Graph new submission initiative.  Other interests are Bible Knowledge Graph and building domain specific languages for interacting with knowledge graphs, creating and building knowledge graph Thesaurus using NLP of existent corpora."
,,,,,,,,,,,,FIDO Alliance,Q15731702,business,Q4830453,bank,Q22687,,,,,,,Province of North Carolina,Q2334526,Thirteen Colonies,Q179997,Kingdom of England,Q179876,,,
,,,,,,,,,,,,,,enterprise,Q6881511,International Standard Industrial Classification,Q1666934,,,,,,,,,,,Great Britain,Q161885,,,
28,28,Silviu Cucerzan,,,,,,,,Microsoft Research,Q1144725,,,division,Q334453,,,,,Redmond,Q223718,King County,Q108861,Washington,Q1223,United States of America,Q30,,,,https://www.linkedin.com/in/silviu-cucerzan-245a213/,"Silviu Cucerzan is a Sr. Principal researcher in Microsoft Research, which he joined in 2003, after completing his PhD studies at the Johns Hopkins University. His research has focused on topics at the intersection of NLP and IR with concrete applications to industry, including entity recognition and linking, multilingual spelling correction, question answering, query suggestion and ad selection, vertical search, fact extraction, fact verification, and vandalism detection. His collaborations with product groups have resulted in numerous technology transfers to Microsoft products. During 2016 to 2019, he led the NLP group in the Bing Knowledge Graph group, where he was responsible for developing and shipping new technologies for fact extraction from news, Web tables, and text, as well as vandalism detection in Web knowledge collections. After winning the Microsoft Hackathon with a project that was bringing knowledge from the Bing graph to Office applications, he led the team that developed the back-end for the new Data Types feature in Excel, which intelligently enhances spreadsheets with rich content from Bing’s knowledge graph"
,,,,,,,,,,,,,,research institute,Q31855,,,,,,,,,,,,,,,,,
29,29,Yanko Ivanov,,,,,,,,Enterprise Knowledge LLC,Q91151007,,,business,Q4830453,professional services industry,Q23700345,taxonomy,Q7211,Arlington County,Q107126,Virginia,Q1370,United States of America,Q30,,,,,Senior Solution Architect,https://www.linkedin.com/in/yankoivanov/,"Yanko Ivanov is a Senior Solution Architect at Enterprise Knowledge, LLC. He is an expert in strategy, design, and implementation of knowledge and information management systems. Mr. Ivanov is focusing on system design and integration leveraging ontology and knowledge graph techniques.  "
,,,,,,,,,,,,,,,,,,ontology engineering,Q1027508,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,knowledge graph,Q33002955,,,,,,,,,,,,,
